certifications,company_name,company_url,location_search_page,min_order,price,product_title,product_url,response_rate,years_on_alibaba_search_page
"[""KOSHER"", ""certified"", ""Verified Supplier""]","Qingdao Wyl Imp. & Exp. Co., Ltd.",https://wylfoods.en.alibaba.com/company_profile.html,CN Supplier,Min. order: 12 metric tons,US$680-850,Factory Price Frozen Sweet Corn Cob Frozen Maize,https://www.alibaba.com/product-detail/Factory-Price-Frozen-Sweet-Corn-Cob_1600621675149.html,N/A,11 yrs
[],"Xinghua Mao Sheng Food Co., Ltd.",https://xhmaosheng.en.alibaba.com/company_profile.html,CN Supplier,Min. order: 10 kilograms,US$10-12,Dried Yellow Corn Grains Experienced Fresh FD Yellow Corn Kernel | Wholesale Price,https://www.alibaba.com/product-detail/Dried-Yellow-Corn-Grains-Experienced-Fresh_1601048820605.html?s=p,"5.0
/5.0 (
5 reviews
)",2 yrs
[],SHRI PARVATHI EXPORT INDIA PRIVATE LIMITED,https://speipl.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 100 metric tons,US$290-335,High Protein Yellow Corn Maize for Animals Bulk Stock Feed Grade Grain for Fish Dogs Pigs Cattle Horses Packaged in Bags,https://www.alibaba.com/product-detail/High-Protein-Yellow-Corn-Maize-for_62004905968.html,N/A,8 yrs
[],TERRA BIO NATURALS PRIVATE LIMITED,https://terrabionaturals.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 25 metric tons,US$280-290,Premium Quality Yellow Maize Corn for Animal Feed & Food for Pigs Direct Export From South India Whole Sale Suppliers Low Price,https://www.alibaba.com/product-detail/Premium-Quality-Yellow-Maize-Corn-for_10000021142436.html,N/A,3 yrs
[],LIME GREEN VENTURES,https://in19052592970jwrc.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 25 metric tons,"US$6,176-6,764",Non-GMO Maize Corn with 13% Moisture Dried Protein Content for Human Consumption Cattle Poultry Horse Animal Feed Fungus-Free,https://www.alibaba.com/product-detail/Non-GMO-Maize-Corn-with-13_10000023911789.html,N/A,1 yr
[],Exporio Impex Private Limited,https://in1574555288gmdu.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 24 metric tons,US$275-325,Top Quality Dried Maize Animal Feed Yellow Corn Standard Quality Maize Corn From India for Export Sale,https://www.alibaba.com/product-detail/Top-Quality-Dried-Maize-Animal-Feed_10000027171910.html,N/A,1 yr
[],R.K.TRADERS,https://bellafashion.trustpass.alibaba.com/company_profile.html,IN Supplier,"Min. order: 1,000 kilograms",US$0.32-0.35,Top Selling Non GMO Yellow Maize Corn/ Yellow Corn & White Corn/Air Dried Yellow Maize Corn for Sale,https://www.alibaba.com/product-detail/Top-Selling-Non-GMO-Yellow-Maize_10000016885821.html,N/A,2 yrs
[],KORE INTERNATIONAL,https://koreinternational.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 10 tons,US$200-300,New Crop Corn Maize 100% Natural Fresh Quality Corn Supplier From India,https://www.alibaba.com/product-detail/New-Crop-Corn-Maize-100-Natural_10000016675496.html,N/A,10 yrs
[],APK EXPORTS,https://in19061743875nbhz.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 5 tons,US$280-300,Non GMO Yellow Corn for Animal Feed Grade High Quality Pure Natural yellow Corn Maize Grains Dried yellow corn for Poultry Feed,https://www.alibaba.com/product-detail/Non-GMO-Yellow-Corn-for-Animal_10000025268168.html,N/A,1 yr
[],ECO EXPORT,https://ecoexport.trustpass.alibaba.com/company_profile.html,IN Supplier,"Min. order: 24,000 kilograms",US$0.32-0.37,Natural Yellow Maize Corn,https://www.alibaba.com/product-detail/Natural-Yellow-Maize-Corn_50036670177.html,N/A,11 yrs
[],ARIHANT ENTERPRISES,https://arihantagro.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 10 tons,US$121.05,Wholesale Price Yellow Maize Corn Best Yellow Maize Corn for Animal Feed Bulk Dried Corn,https://www.alibaba.com/product-detail/Wholesale-Price-Yellow-Maize-Corn-Best_10000028979367.html,N/A,1 yr
[],S.A TRADING IMPEX,https://in19038624099tura.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 1 ton,US$275,"High Grade Dried Maize Corn for Export Ideal for Food Processing, Animal Feed, and Industrial Use GMO Free",https://www.alibaba.com/product-detail/High-Grade-Dried-Maize-Corn-for_10000027519756.html,N/A,1 yr
"[""Verified Supplier""]",Noor Al-Eman Rice Traders & Company,https://pk1574315162isbp.trustpass.alibaba.com/company_profile.html,PK Supplier,Min. order: 1 ton,"US$1,200",New Sweet Corn Grain Glutinous Yellow Colorful Organic Corn Wholesale Low Price,https://www.alibaba.com/product-detail/New-Sweet-Corn-Grain-Glutinous-Yellow_10000026053831.html,N/A,1 yr
[],SHREE SHYAM AGRO IMPEX,https://in19019851761muxf.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 100 tons,US$270,Premium Grade Non-GMO Yellow Dried Maize Corn for Human Consumption Food Grade Bulk Export Supply,https://www.alibaba.com/product-detail/Premium-Grade-Non-GMO-Yellow-Dried_10000029836915.html,N/A,1 yr
[],"Qingdao Gewell Import & Export Co., Ltd.",https://geweier.en.alibaba.com/company_profile.html,CN Supplier,Min. order: 5 metric tons,US$500-700,Wholesale Dried Corn Grain Dried Yellow Corn for Food Frozen Corn Kernels,https://www.alibaba.com/product-detail/Wholesale-Dried-Corn-Grain-Dried-Yellow_1601297613145.html,N/A,1 yr
[],TRADE VENTURES,https://tradeventures.trustpass.alibaba.com/company_profile.html,PK Supplier,Min. order: 5 metric tons,US$220-280,Premium Grade Yellow Corn for Food and Feed High Quality Yellow Maize / Corn Wholesale Prices & Fast Delivery,https://www.alibaba.com/product-detail/Premium-Grade-Yellow-Corn-for-Food_10000029962076.html,N/A,1 yr
[],Ranjana Traders,https://in19065771704kezf.trustpass.alibaba.com/company_profile.html,IN Supplier,"Min. order: 1,000 kilograms",US$0.40,"Export Quality Indian Maize Premium 100% Yellow Corn Non-GMO Ideal for Human Consumption, Animal Feed & Food Processing",https://www.alibaba.com/product-detail/Export-Quality-Indian-Maize-Premium-100_10000029609867.html,N/A,1 yr
[],UNK ENTERPRISES,https://pk29152017173rale.trustpass.alibaba.com/company_profile.html,PK Supplier,Min. order: 24 metric tons,US$100-290,White and Yellow Corn Maize Available at Reasonable Price High Quality Customized Packing Yellow Corn Maize Use for Animal Feed,https://www.alibaba.com/product-detail/White-and-Yellow-Corn-Maize-Available_10000023296035.html,N/A,1 yr
[],UKASHA PACIFIC INTERNATIONAL (SMCPRIVATE) LIMITED,https://ukashapacific.trustpass.alibaba.com/company_profile.html,PK Supplier,Min. order: 25 metric tons,US$500-600,Yellow Corn - High Quality Maize Grains Yellow Corn Maize 100% Natural Quality Corn for Human Consumption,https://www.alibaba.com/product-detail/Yellow-Corn-High-Quality-Maize-Grains_11000022472974.html,N/A,1 yr
"[""HALAL"", ""certified"", ""Verified Supplier""]","Xiamen Sharp Dragon International Trading Co.,Ltd",https://xmsdfood.en.alibaba.com/company_profile.html,CN Supplier,Min. order: 12 tons,US$800-900,IQF Frozen Yellow Corn Maize for Sale Grain Bulk Price Sweet Import China Fruit Seeds a Grade EDIBLE Frozen Fruit and Vegetable,https://www.alibaba.com/product-detail/IQF-Frozen-Yellow-Corn-Maize-for_60752143193.html,N/A,9 yrs
[],Inout GmbH,https://at29188385791qbnb.trustpass.alibaba.com/company_profile.html,AT Supplier,Min. order: 25 metric tons,US$110-140,New Crop Yellow Corn Maize for Human and Animal Feed Grade Consumption Yellow Corn Cheap price,https://www.alibaba.com/product-detail/New-Crop-Yellow-Corn-Maize-for_10000028816454.html,N/A,1 yr
"[""Verified Supplier""]","Jiangsu Jinjie Food Co., Ltd.",https://cnjinjiesp.en.alibaba.com/company_profile.html,CN Supplier,Min. order: 1 bag,US$1.30-1.50,High Quality Corn Meal Pure Natural Organic Affordable Original Flavor Grains Professional Manufacturer,https://www.alibaba.com/product-detail/High-Quality-Corn-Meal-Pure-Natural_1601432618126.html,"5.0
/5.0 (
1 review
)",1 yr
[],snatia groups pty ltd,https://za29147295322ywtb.trustpass.alibaba.com/company_profile.html,ZA Supplier,"Min. order: 5,000 kilograms",US$0.50-1.50,New Crop Yellow Corn Maize for Human and Animal Feed Grade Consumption Yellow Corn for Poultry Feed,https://www.alibaba.com/product-detail/New-Crop-Yellow-Corn-Maize-for_11000017415802.html,N/A,1 yr
[],JF AGRI FOODS,https://in1368704748jwsi.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 24 metric tons,US$250-300,Hot Sell 2024 Yellow Maize Corn with 100% Pure Natural Grade Animal Feed Yellow Maize Corn for Sale by Exporters,https://www.alibaba.com/product-detail/Hot-Sell-2024-Yellow-Maize-Corn_10000019772377.html,N/A,1 yr
[],"HASAN & BONO TRADING CO., LTD.",https://hasanbono79.trustpass.alibaba.com/company_profile.html,TH Supplier,Min. order: 1 kilogram,US$1.50,"Dried Grade 2 Yellow Maize/Corn, Non-GMO,Fit for Human Consumption and Animal Feed",https://www.alibaba.com/product-detail/Dried-Grade-2-Yellow-Maize-Corn_11000006477969.html,N/A,6 yrs
[],ORGANIC SMILE,https://organicsmile.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 25 metric tons,US$292.68,Organic Yellow Corn Maize Animal Feed High Protein Dried Best Natural Quality Product From Smile India,https://www.alibaba.com/product-detail/Organic-Yellow-Corn-Maize-Animal-Feed_11000005718190.html,N/A,3 yrs
[],KSM INTERNATIONAL COMMODITY PRIVATE LIMITED,https://ksminternational.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 10 metric tons,US$450,Hot Sale Limited Time Sale Natural Premium White Maize Corn Healthy and Fresh at Discounted Price,https://www.alibaba.com/product-detail/Hot-Sale-Limited-Time-Sale-Natural_10000026202868.html,N/A,1 yr
[],DABOU NGOTCHO JOSEPH,https://fr29044500266wsgn.trustpass.alibaba.com/company_profile.html,FR Supplier,Min. order: 1 ton,US$250,BEST QUALITY YELLOW CORN DRIED MAIZE GRAIN FOR FOOD LIVESTOCK POULTRY ANIMAL FEED FROM EU NOW AVAILABLE FOR SELL,https://www.alibaba.com/product-detail/BEST-QUALITY-YELLOW-CORN-DRIED-MAIZE_1600685015527.html,N/A,3 yrs
[],KINAL GLOBAL CARE PRIVATE LIMITED,https://indiaexports.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 24 metric tons,US$320-350,Top Quality Yellow Corn Maize Available at Wholesale Prices Best Selling Maize Corn From India for Export Sale,https://www.alibaba.com/product-detail/Top-Quality-Yellow-Corn-Maize-Available_10000008679298.html,N/A,11 yrs
"[""Verified Supplier""]","Beijing Fuhongyuan Trading Co., Ltd.",https://bjfhy.en.alibaba.com/company_profile.html,CN Supplier,"Min. order: 35,000 pieces",US$0.43-0.46,Premium Quality Yellow Corn Natural Color Corn for Sale,https://www.alibaba.com/product-detail/Premium-Quality-Yellow-Corn-Natural-Color_1601261747340.html,N/A,1 yr
[],Fabio Luiz de Paula,https://br29187262531vphk.trustpass.alibaba.com/company_profile.html,BR Supplier,Min. order: 5 tons,US$200-300,Quality Yellow Corn Maize Grains Top Selling Non GMO Yellow Maize Corn/ Yellow Corn & White Corn/Air Dried Maize Corn for Sale,https://www.alibaba.com/product-detail/Quality-Yellow-Corn-Maize-Grains-Top_10000029307598.html,N/A,1 yr
[],Active Trading LTDA,https://br29194970231lexh.trustpass.alibaba.com/company_profile.html,BR Supplier,Min. order: 5 tons,US$250-350,High Quality Yellow /white Corn for sale Yellow Corn - High Quality Yellow Corn Maize Grains Top Selling Non GMO Yellow Maize,https://www.alibaba.com/product-detail/High-Quality-Yellow-white-Corn-for_10000029582983.html,N/A,1 yr
[],"Jilin Province Agricultural Sister-In-Law Food Co., Ltd.",https://jlnssp.en.alibaba.com/company_profile.html,CN Supplier,"Min. order: 28,800 bags",US$0.70,NON-GMO Delicious Fresh Yellow Sweet Corn Kernels Nitrogen Filled Non-glutinous Corn Grains Corn 60g 100g,https://www.alibaba.com/product-detail/NON-GMO-Delicious-Fresh-Yellow-Sweet_1601407675191.html,N/A,10 yrs
[],MAHADTHAI GLOBAL TRADE COMPANY LIMITED,https://th19042806236hcak.trustpass.alibaba.com/company_profile.html,TH Supplier,Min. order: 100 metric tons,US$90-160,Export Top Selling Non GMO Yellow Corn/ Yellow Corn & White Corn/Air Dried Yellow Corn for Sale,https://www.alibaba.com/product-detail/Export-Top-Selling-Non-GMO-Yellow_11000012484250.html,N/A,2 yrs
[],LF ALIMENTOS E DISTRIBUICAO LTDA,https://br29143585062cwfi.trustpass.alibaba.com/company_profile.html,BR Supplier,Min. order: 5 tons,US$150-300,Ton Organic White Corn GMO-Free Fresh Stock Bulk Supply Yellow Maize/Corn Grains for Animal Feed,https://www.alibaba.com/product-detail/Ton-Organic-White-Corn-GMO-Free_11000017101957.html,N/A,1 yr
[],BALKRISHNA AGRO PRODUCTS,https://in1547860876ypiq.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 1 kilogram,US$1.25,Yellow Corn Yellow Maize for Animal Feed Grade Dry Style Poultry Feed First Grade Quality for Bulk Sales Manufacturing in India,https://www.alibaba.com/product-detail/Yellow-Corn-Yellow-Maize-for-Animal_10000010014587.html,N/A,4 yrs
[],"Qingdao Good Prosper Imp. & Exp. Co., Ltd.",https://goodprosper.en.alibaba.com/company_profile.html,CN Supplier,Min. order: 28 metric tons,US$160-210,Hot Selling 60% Protein Corn Gluten Meal Natural Yellow Corn Maize Grains for Animal Use Direct From Suppliers,https://www.alibaba.com/product-detail/Hot-Selling-60-Protein-Corn-Gluten_1601466318600.html,N/A,18 yrs
[],"SUPANSA TRADER CO.,LTD",https://th1298815394wjwg.trustpass.alibaba.com/company_profile.html,TH Supplier,Min. order: 2 tons,US$250-300,Low Price GMO Grain Yellow Maize Corn for Animal Feed Yellow Corn for Human Consumption,https://www.alibaba.com/product-detail/Low-Price-GMO-Grain-Yellow-Maize_10000024678417.html,N/A,8 yrs
[],AMICO TRADING INC,https://us29170909884cehq.trustpass.alibaba.com/company_profile.html,US Supplier,Min. order: 10 tons,US$250-300,Air Dried Non GMO Yellow White Corn / White Corn Grains Cheap Price,https://www.alibaba.com/product-detail/Air-Dried-Non-GMO-Yellow-White_11000021565775.html,N/A,1 yr
[],LSK Trading LLC,https://us29169251297omrp.trustpass.alibaba.com/company_profile.html,US Supplier,Min. order: 25 tons,US$80-100,"Dried Grade 1&2 Yellow Maize/Corn, Non-GMO, Fit for Human Consumption and Animal Feed whole Maize/Corn kernel",https://www.alibaba.com/product-detail/Dried-Grade-1-2-Yellow-Maize_11000024453758.html,N/A,1 yr
[],BV JR TRADING,https://be29189881416keey.trustpass.alibaba.com/company_profile.html,BE Supplier,Min. order: 5 tons,US$250-300,Sell Yellow Corn Maize Grains for Animal Feed / Animal Feed Corn Maize,https://www.alibaba.com/product-detail/Sell-Yellow-Corn-Maize-Grains-for_10000029024452.html,N/A,1 yr
[],NSW Nord Spirituosen & Weinkontor GmbH,https://de1574695447zmtc.trustpass.alibaba.com/company_profile.html,DE Supplier,Min. order: 5 tons,US$250-300,Yellow corn for human consumption non gmo yellow corn/Corn Maize,https://www.alibaba.com/product-detail/Yellow-corn-for-human-consumption-non_10000029162084.html,N/A,1 yr
[],A & D TIRES INC.,https://us1564790879gfqi.trustpass.alibaba.com/company_profile.html,US Supplier,Min. order: 10 metric tons,US$70-150,Yellow Corn - High Quality Yellow Corn Maize Grains,https://www.alibaba.com/product-detail/Yellow-Corn-High-Quality-Yellow-Corn_1600946252142.html,N/A,2 yrs
[],"Zhengzhou Bridge Biochem Co., Ltd.",https://bridgebiochem.en.alibaba.com/company_profile.html,CN Supplier,Min. order: 20 metric tons,US$550-650,Hot Selling 60% Protein Corn Gluten Meal Natural Yellow Corn Maize Grains for Animal Use Direct From Suppliers,https://www.alibaba.com/product-detail/Hot-Selling-60-Protein-Corn-Gluten_1601450079682.html,N/A,3 yrs
[],SUNISA KARNKA,https://th1316643438aclr.trustpass.alibaba.com/company_profile.html,TH Supplier,Min. order: 10 tons,US$500-850,Premium Quality Natural Yellow Corn Grains for Sale Animal Feed Wholesale Economic and Reliable Natural Dried Yellow Corn,https://www.alibaba.com/product-detail/Premium-Quality-Natural-Yellow-Corn-Grains_10000020384200.html,N/A,8 yrs
[],ACEL A/S,https://dk1557753204hzrr.trustpass.alibaba.com/company_profile.html,DK Supplier,Min. order: 10 metric tons,US$75-150,"Affordable Dried Yellow Maize Corn, Non-GMO Yellow Corn & White Corn/Maize for Human & Animal Feed",https://www.alibaba.com/product-detail/Affordable-Dried-Yellow-Maize-Corn-Non_10000010338622.html,N/A,3 yrs
[],"E-POR IMPORT & EXPORT CO., LTD",https://th1563405917qxkt.trustpass.alibaba.com/company_profile.html,TH Supplier,Min. order: 25 metric tons,US$350-500,Export Top Selling Non GMO Yellow Corn/ Yellow Corn & White Corn/Air Dried Yellow Corn for Sale,https://www.alibaba.com/product-detail/Export-Top-Selling-Non-GMO-Yellow_11000010132534.html,N/A,2 yrs
[],JBK Manufacturing and Development Company,https://us29004445160pcnp.trustpass.alibaba.com/company_profile.html,US Supplier,Min. order: 1 metric ton,US$85,USA BEST QUALITY DRIED CORN for ANIMAL FEED NATURAL AD YELLOW CORN NON GMO YELLOW CORN for SALE,https://www.alibaba.com/product-detail/USA-BEST-QUALITY-DRIED-CORN-for_10000005718885.html,N/A,4 yrs
